data,sku_id,regiao,estoque_fisico,demanda_media_diaria,ponto_pedido,status_estoque,dias_cobertura
2024-01-01,SKU-001,Sul,51,36.1,347,Crítico,1.4
2024-01-08,SKU-001,Sul,10,28.9,277,Crítico,0.3
2024-01-15,SKU-001,Sul,8,40.7,391,Crítico,0.2
2024-01-22,SKU-001,Sul,34,44.5,427,Crítico,0.8
2024-01-29,SKU-001,Sul,25,18.7,180,Crítico,1.3
2024-02-05,SKU-001,Sul,42,34.0,326,Crítico,1.2
2024-02-12,SKU-001,Sul,41,18.7,180,Crítico,2.2
2024-02-19,SKU-001,Sul,55,29.6,284,Crítico,1.9
2024-02-26,SKU-001,Sul,3,30.5,293,Crítico,0.1
2024-03-04,SKU-001,Sul,20,25.0,240,Crítico,0.8
2024-03-11,SKU-001,Sul,20,23.7,228,Crítico,0.8
2024-03-18,SKU-001,Sul,24,27.1,260,Crítico,0.9
2024-03-25,SKU-001,Sul,53,25.5,245,Crítico,2.1
2024-04-01,SKU-001,Sul,53,29.4,282,Crítico,1.8
2024-04-08,SKU-001,Sul,1,20.2,194,Crítico,0.0
2024-04-15,SKU-001,Sul,3,38.2,367,Crítico,0.1
2024-04-22,SKU-001,Sul,22,45.0,432,Crítico,0.5
2024-04-29,SKU-001,Sul,4,24.1,231,Crítico,0.2
2024-05-06,SKU-001,Sul,41,39.1,375,Crítico,1.0
2024-05-13,SKU-001,Sul,1,19.1,183,Crítico,0.1
2024-05-20,SKU-001,Sul,12,43.6,419,Crítico,0.3
2024-05-27,SKU-001,Sul,39,40.7,391,Crítico,1.0
2024-06-03,SKU-001,Sul,8,22.1,212,Crítico,0.4
2024-06-10,SKU-001,Sul,7,30.8,296,Crítico,0.2
2024-06-17,SKU-001,Sul,13,33.2,319,Crítico,0.4
2024-06-24,SKU-001,Sul,16,30.6,294,Crítico,0.5
2024-07-01,SKU-001,Sul,10,38.7,372,Crítico,0.3
2024-07-08,SKU-001,Sul,47,34.4,330,Crítico,1.4
2024-07-15,SKU-001,Sul,49,37.4,359,Crítico,1.3
2024-07-22,SKU-001,Sul,19,40.1,385,Crítico,0.5
2024-07-29,SKU-001,Sul,1,20.9,201,Crítico,0.0
2024-08-05,SKU-001,Sul,36,43.1,414,Crítico,0.8
2024-08-12,SKU-001,Sul,24,36.3,348,Crítico,0.7
2024-08-19,SKU-001,Sul,45,28.7,276,Crítico,1.6
2024-08-26,SKU-001,Sul,37,23.4,225,Crítico,1.6
2024-09-02,SKU-001,Sul,40,36.6,351,Crítico,1.1
2024-09-09,SKU-001,Sul,44,24.6,236,Crítico,1.8
2024-09-16,SKU-001,Sul,54,38.9,373,Crítico,1.4
2024-09-23,SKU-001,Sul,51,36.5,350,Crítico,1.4
2024-09-30,SKU-001,Sul,36,21.3,204,Crítico,1.7
2024-10-07,SKU-001,Sul,22,39.1,375,Crítico,0.6
2024-10-14,SKU-001,Sul,42,32.4,311,Crítico,1.3
2024-10-21,SKU-001,Sul,32,28.0,269,Crítico,1.1
2024-10-28,SKU-001,Sul,0,35.5,341,Ruptura,0.0
2024-11-04,SKU-001,Sul,52,40.9,393,Crítico,1.3
2024-11-11,SKU-001,Sul,27,31.2,300,Crítico,0.9
2024-11-18,SKU-001,Sul,40,43.9,421,Crítico,0.9
2024-11-25,SKU-001,Sul,29,42.1,404,Crítico,0.7
2024-12-02,SKU-001,Sul,27,37.1,356,Crítico,0.7
2024-12-09,SKU-001,Sul,33,22.8,219,Crítico,1.4
2024-12-16,SKU-001,Sul,17,44.1,423,Crítico,0.4
2024-12-23,SKU-001,Sul,34,34.6,332,Crítico,1.0
2024-12-30,SKU-001,Sul,29,38.9,373,Crítico,0.7
2024-01-01,SKU-001,Sudeste,46,29.8,286,Crítico,1.5
