data_venda,sku_id,regiao,qtd_vendida,qtd_perdida_ruptura,receita_realizada,receita_perdida,canal
2024-01-01,SKU-001,Sul,506,115,6699.44,1522.6,Atacado
2024-02-01,SKU-001,Sul,573,146,7586.52,1933.04,Farmácia
2024-03-01,SKU-001,Sul,585,105,7745.4,1390.2,Farmácia
2024-04-01,SKU-001,Sul,452,113,5984.48,1496.12,Atacado
2024-05-01,SKU-001,Sul,382,129,5057.68,1707.96,Farmácia
2024-06-01,SKU-001,Sul,426,146,5640.24,1933.04,Supermercado
2024-07-01,SKU-001,Sul,502,134,6646.48,1774.16,Supermercado
2024-08-01,SKU-001,Sul,318,160,4210.32,2118.4,Farmácia
2024-09-01,SKU-001,Sul,542,165,7176.08,2184.6,Farmácia
2024-10-01,SKU-001,Sul,296,53,3919.04,701.72,Farmácia
2024-11-01,SKU-001,Sul,326,44,4316.24,582.56,Farmácia
2024-12-01,SKU-001,Sul,354,159,4686.96,2105.16,Atacado
2024-01-01,SKU-001,Sudeste,474,136,6275.76,1800.64,Farmácia
2024-02-01,SKU-001,Sudeste,365,129,4832.6,1707.96,Farmácia
2024-03-01,SKU-001,Sudeste,479,158,6341.96,2091.92,Atacado
2024-04-01,SKU-001,Sudeste,375,83,4965.0,1098.92,Farmácia
2024-05-01,SKU-001,Sudeste,384,112,5084.16,1482.88,Atacado
2024-06-01,SKU-001,Sudeste,511,108,6765.64,1429.92,Atacado
2024-07-01,SKU-001,Sudeste,389,56,5150.36,741.44,Atacado
2024-08-01,SKU-001,Sudeste,480,41,6355.2,542.84,Supermercado
2024-09-01,SKU-001,Sudeste,577,71,7639.48,940.04,Farmácia
2024-10-01,SKU-001,Sudeste,588,42,7785.12,556.08,Farmácia
2024-11-01,SKU-001,Sudeste,560,172,7414.4,2277.28,Supermercado
2024-12-01,SKU-001,Sudeste,482,45,6381.68,595.8,Supermercado
2024-01-01,SKU-001,Centro-Oeste,506,93,6699.44,1231.32,Atacado
2024-02-01,SKU-001,Centro-Oeste,358,145,4739.92,1919.8,Atacado
2024-03-01,SKU-001,Centro-Oeste,435,154,5759.4,2038.96,Supermercado
2024-04-01,SKU-001,Centro-Oeste,572,90,7573.28,1191.6,Atacado
2024-05-01,SKU-001,Centro-Oeste,520,171,6884.8,2264.04,Atacado
2024-06-01,SKU-001,Centro-Oeste,594,132,7864.56,1747.68,Supermercado
2024-07-01,SKU-001,Centro-Oeste,423,63,5600.52,834.12,Atacado
2024-08-01,SKU-001,Centro-Oeste,500,54,6620.0,714.96,Supermercado
2024-09-01,SKU-001,Centro-Oeste,291,90,3852.84,1191.6,Atacado
2024-10-01,SKU-001,Centro-Oeste,329,146,4355.96,1933.04,Supermercado
2024-11-01,SKU-001,Centro-Oeste,616,133,8155.84,1760.92,Supermercado
2024-12-01,SKU-001,Centro-Oeste,566,67,7493.84,887.08,Atacado
2024-01-01,SKU-002,Sul,426,129,23472.6,7107.9,Farmácia
2024-02-01,SKU-002,Sul,406,109,22370.6,6005.9,Supermercado
2024-03-01,SKU-002,Sul,502,116,27660.2,6391.6,Supermercado
2024-04-01,SKU-002,Sul,532,94,29313.2,5179.4,Supermercado
2024-05-01,SKU-002,Sul,399,178,21984.9,9807.8,Atacado
2024-06-01,SKU-002,Sul,561,54,30911.1,2975.4,Supermercado
2024-07-01,SKU-002,Sul,446,73,24574.6,4022.3,Atacado
2024-08-01,SKU-002,Sul,573,47,31572.3,2589.7,Atacado
2024-09-01,SKU-002,Sul,449,139,24739.9,7658.9,Atacado
2024-10-01,SKU-002,Sul,456,62,25125.6,3416.2,Supermercado
2024-11-01,SKU-002,Sul,377,153,20772.7,8430.3,Atacado
2024-12-01,SKU-002,Sul,435,155,23968.5,8540.5,Atacado
2024-01-01,SKU-002,Sudeste,326,175,17962.6,9642.5,Supermercado
2024-02-01,SKU-002,Sudeste,537,100,29588.7,5510.0,Atacado
2024-03-01,SKU-002,Sudeste,420,102,23142.0,5620.2,Supermercado
2024-04-01,SKU-002,Sudeste,461,51,25401.1,2810.1,Supermercado
2024-05-01,SKU-002,Sudeste,486,170,26778.6,9367.0,Atacado
2024-06-01,SKU-002,Sudeste,596,94,32839.6,5179.4,Supermercado
2024-07-01,SKU-002,Sudeste,300,141,16530.0,7769.1,Atacado
2024-08-01,SKU-002,Sudeste,445,54,24519.5,2975.4,Farmácia
2024-09-01,SKU-002,Sudeste,402,51,22150.2,2810.1,Farmácia
2024-10-01,SKU-002,Sudeste,572,139,31517.2,7658.9,Atacado
2024-11-01,SKU-002,Sudeste,481,82,26503.1,4518.2,Supermercado
